"ref_id","ref_code","first_author","ref_year","title","ref_type","citation_bibtex"
203,"eichembergSpeciesCompositionPlant2009","Eichemberg",2009,"Species composition and plant use in old urban homegardens in Rio Claro, Southeast of Brazil","Survey of gardens, farms, or lawns","@article{eichembergSpeciesCompositionPlant2009, title = {Species composition and plant use in old urban homegardens in {{Rio Claro}}, {{Southeast}} of {{Brazil}}}, author = {Eichemberg, Mayra Teruya and Amorozo, Maria Christina de Mello and de Moura, Leila Cunha}, year = {2009}, month = dec, journal = {Acta Botanica Brasilica}, volume = {23}, number = {4}, pages = {1057--1075}, issn = {0102-3306}, doi = {10.1590/S0102-33062009000400016}, url = {http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062009000400016&lng=en&tlng=en}, urldate = {2021-11-16}, langid = {english} }"
204,"wardSuburbanGardeningRochester2018","Ward",2018,"Suburban gardening in Rochester, New York: Exotic plant preference and risk of invasion","Survey of gardens, farms, or lawns","@article{wardSuburbanGardeningRochester2018, title = {Suburban gardening in {{Rochester}}, {{New York}}: {{Exotic}} plant preference and risk of invasion}, shorttitle = {Suburban gardening in {{Rochester}}, {{New York}}}, author = {Ward, Scott G. and Amatangelo, Kathryn L.}, year = {2018}, month = dec, journal = {Landscape and Urban Planning}, volume = {180}, pages = {161--165}, issn = {01692046}, doi = {10.1016/j.landurbplan.2018.09.004}, url = {https://linkinghub.elsevier.com/retrieve/pii/S0169204618308995}, urldate = {2021-12-10}, langid = {english} }"
208,"avolioBiodiverseCitiesNursery2018","Avolio",2018,"Biodiverse cities: the nursery industry, homeowners, and neighborhood differences drive urban tree composition","Survey of gardens, farms, or lawns","@article{avolioBiodiverseCitiesNursery2018, title = {Biodiverse cities: the nursery industry, homeowners, and neighborhood differences drive urban tree composition}, shorttitle = {Biodiverse cities}, author = {Avolio, Meghan L. and Pataki, Diane E. and Trammell, Tara L. E. and {Endter-Wada}, Joanna}, year = {2018}, month = may, journal = {Ecological Monographs}, volume = {88}, number = {2}, pages = {259--276}, issn = {00129615}, doi = {10.1002/ecm.1290}, url = {https://onlinelibrary.wiley.com/doi/10.1002/ecm.1290}, urldate = {2022-03-31}, langid = {english}, annotation = {Survey of trees in yards, blocks, and streets} }"
210,"caballero-serranoTraditionalEcologicalKnowledge2019","Caballero-Serrano",2019,"Traditional ecological knowledge and medicinal plant diversity in Ecuadorian Amazon home gardens","Survey of gardens, farms, or lawns","@article{caballero-serranoTraditionalEcologicalKnowledge2019, title = {Traditional ecological knowledge and medicinal plant diversity in {{Ecuadorian Amazon}} home gardens}, author = {{Caballero-Serrano}, Veronica and McLaren, Brian and Carrasco, Juan Carlos and Alday, Josu G. and Fiallos, Luis and Amigo, Javier and Onaindia, Miren}, year = {2019}, month = jan, journal = {Global Ecology and Conservation}, volume = {17}, pages = {e00524}, issn = {23519894}, doi = {10.1016/j.gecco.2019.e00524}, url = {https://linkinghub.elsevier.com/retrieve/pii/S2351989418303524}, urldate = {2021-11-29}, langid = {english} }"
215,"tadesseImpactsIndigenousAgroforestry2023","Tadesse",2023,"Impacts of indigenous agroforestry practices and elevation gradient on ecosystem carbon stocks in smallholdings’ farming system in South-Central Ethiopia","Survey of gardens, farms, or lawns","@article{tadesseImpactsIndigenousAgroforestry2023, title = {Impacts of indigenous agroforestry practices and elevation gradient on ecosystem carbon stocks in smallholdings' farming system in {{South-Central Ethiopia}}}, author = {Tadesse, Eyob and Negash, Mesele}, year = {2023}, month = jan, journal = {Agroforestry Systems}, volume = {97}, number = {1}, pages = {13--30}, issn = {0167-4366, 1572-9680}, doi = {10.1007/s10457-022-00781-4}, url = {https://link.springer.com/10.1007/s10457-022-00781-4}, urldate = {2023-04-13}, langid = {english} }"
217,"kassaPlantSpeciesDiversity2023","Kassa",2023,"Plant species diversity, plant use, and classification of agroforestry homegardens in southern and southwestern Ethiopia","Survey of gardens, farms, or lawns","@article{kassaPlantSpeciesDiversity2023, title = {Plant species diversity, plant use, and classification of agroforestry homegardens in southern and southwestern {{Ethiopia}}}, author = {Kassa, Gezahegn and Bekele, Tamrat and Demissew, Sebsebe and Abebe, Tesfaye}, year = {2023}, month = jun, journal = {Heliyon}, volume = {9}, number = {6}, pages = {e16341}, issn = {24058440}, doi = {10.1016/j.heliyon.2023.e16341}, urldate = {2023-08-03}, langid = {english} } "
218,"woldeyesHomegardensSpicesBasketo2011","Woldeyes",2011,"Homegardens and spices of Basketo and Kafa (Southwest Ethiopia): Plant diversity, product valorization and implications to biodiversity conservation","Survey of gardens, farms, or lawns","@phdthesis{woldeyesHomegardensSpicesBasketo2011, title = {Homegardens and spices of {{Basketo}} and {{Kafa}} ({{Southwest Ethiopia}}): {{Plant}} diversity, product valorization and implications to biodiversity conservation}, author = {Woldeyes, Feleke}, year = {2011}, month = feb, address = {{Addis Ababa}}, langid = {english}, school = {Addis Ababa University} } "
220,"siebertPlantPresenceAbsence2020","Siebert",2020,"Plant presence/absence in suburban domestic gardens in South Africa","Survey of gardens, farms, or lawns","@article{siebertPlantPresenceAbsence2020, title = {Plant presence/absence in suburban domestic gardens in {{South Africa}}}, author = {Siebert, Stefan and Cilliers, Sarel and Davoren, Elandrie and Lubbe, Rina and Komape, Dennis and Knoetze, Leandra and Khanyi, Hlobisile and Molebatsi, Lerato and Padull{\'e}s Cubino, Josep}, year = {2020}, month = aug, doi = {10.6084/m9.figshare.12890645.v1}, url = {https://doi.org/10.6084/m9.figshare.12890645.v1} }"
225,"osawaruSurveyOrnamentalGardens2014","Osawaru",2014,"Survey of ornamental gardens in five local government areas of Southern Edo State Nigeria","Survey of gardens, farms, or lawns","@article{osawaruSurveyOrnamentalGardens2014, title = {Survey of ornamental gardens in five local government areas of {{Southern Edo State Nigeria}}}, author = {Osawaru, M. E. and Ogwu, M. C. and Aigbefue, D.}, year = {2014}, month = jan, journal = {The Bioscientist}, volume = {2}, number = {1}, pages = {87--102} }"
227,"norfolkTraditionalAgriculturalGardens2013","Norfolk",2013,"Traditional agricultural gardens conserve wild plants and functional richness in arid South Sinai","Survey of gardens, farms, or lawns","@article{norfolkTraditionalAgriculturalGardens2013, title = {Traditional agricultural gardens conserve wild plants and functional richness in arid {{South Sinai}}}, author = {Norfolk, Olivia and Eichhorn, Markus P. and Gilbert, Francis}, year = {2013}, month = dec, journal = {Basic and Applied Ecology}, volume = {14}, number = {8}, pages = {659--669}, issn = {14391791}, doi = {10.1016/j.baae.2013.10.004}, url = {https://linkinghub.elsevier.com/retrieve/pii/S1439179113001448}, urldate = {2021-12-10}, langid = {english} }"
228,"kabirCanHomegardensConserve2008","Kabir",2008,"Can homegardens conserve biodiversity in Bangladesh?","Survey of gardens, farms, or lawns","@article{kabirCanHomegardensConserve2008, title = {Can homegardens conserve biodiversity in {{Bangladesh}}?}, author = {Kabir, Md. Enamul and Webb, Edward L.}, year = {2008}, journal = {Biotropica}, volume = {40}, number = {1}, pages = {95--103}, issn = {0006-3606, 1744-7429}, doi = {10.1111/j.1744-7429.2007.00346.x}, url = {https://onlinelibrary.wiley.com/doi/10.1111/j.1744-7429.2007.00346.x}, urldate = {2021-12-01}, langid = {english} }"
229,"whitneyCropDiversityHomegardens2018","Whitney",2018,"Crop diversity in homegardens of southwest Uganda and its importance for rural livelihoods","Survey of gardens, farms, or lawns","@article{whitneyCropDiversityHomegardens2018, title = {Crop diversity in homegardens of southwest {{Uganda}} and its importance for rural livelihoods}, author = {Whitney, Cory W. and Luedeling, Eike and Tabuti, John R. S. and Nyamukuru, Antonia and Hensel, Oliver and Gebauer, Jens and Kehlenbeck, Katja}, year = {2018}, month = jun, journal = {Agriculture and Human Values}, volume = {35}, number = {2}, pages = {399--424}, issn = {0889-048X, 1572-8366}, doi = {10.1007/s10460-017-9835-3}, url = {http://link.springer.com/10.1007/s10460-017-9835-3}, urldate = {2021-11-16}, langid = {english} }"
233,"melvaniMultipleLivelihoodStrategies2020","Melvani",2020,"Multiple livelihood strategies and high floristic diversity increase the adaptive capacity and resilience of Sri Lankan farming enterprises","Survey of gardens, farms, or lawns","@article{melvaniMultipleLivelihoodStrategies2020, title = {Multiple livelihood strategies and high floristic diversity increase the adaptive capacity and resilience of {{Sri Lankan}} farming enterprises}, author = {Melvani, Kamal and Bristow, Mila and Moles, Jerry and Crase, Beth and Kaestli, Mirjam}, year = {2020}, month = oct, journal = {Science of The Total Environment}, volume = {739}, pages = {139120}, issn = {00489697}, doi = {10.1016/j.scitotenv.2020.139120}, url = {https://linkinghub.elsevier.com/retrieve/pii/S0048969720326371}, urldate = {2021-12-02}, langid = {english} }"
240,"panyadeeWoodyPlantDiversity2016","Panyadee",2016,"Woody plant diversity in urban homegardens in Northern Thailand","Survey of gardens, farms, or lawns","@article{panyadeeWoodyPlantDiversity2016, title = {Woody plant diversity in urban homegardens in {{Northern Thailand}}}, author = {Panyadee, Prateep and Balslev, Henrik and Wangpakapattanawong, Prasit and Inta, Angkhana}, year = {2016}, month = oct, journal = {Economic Botany}, volume = {70}, number = {3}, pages = {285--302}, issn = {0013-0001, 1874-9364}, doi = {10.1007/s12231-016-9348-9}, url = {http://link.springer.com/10.1007/s12231-016-9348-9}, urldate = {2021-11-16}, langid = {english} }"
244,"panyadeeKarenHomegardensCharacteristics2018","Panyadee",2018,"Karen Homegardens: Characteristics, Functions, and Species Diversity","Survey of gardens, farms, or lawns","@article{panyadeeKarenHomegardensCharacteristics2018, title = {Karen homegardens: characteristics, functions, and species diversity}, shorttitle = {Karen homegardens}, author = {Panyadee, Prateep and Balslev, Henrik and Wangpakapattanawong, Prasit and Inta, Angkhana}, year = {2018}, month = mar, journal = {Economic Botany}, volume = {72}, number = {1}, pages = {1--19}, issn = {0013-0001, 1874-9364}, doi = {10.1007/s12231-018-9404-8}, url = {http://link.springer.com/10.1007/s12231-018-9404-8}, urldate = {2021-11-16}, langid = {english} }"
245,"sanchezPatternsKnowledgeUse2023","Ortiz-Sánchez",2023,"Patterns of knowledge and use of tropical plants in homegardens of Southern Morelos, Mexico","Survey of gardens, farms, or lawns","@article{ortiz-sanchezPatternsKnowledgeUse2023, title = {Patterns of knowledge and use of tropical plants in homegardens of {{Southern Morelos}}, {{Mexico}}}, author = {{Ortiz-S{\'a}nchez}, Amanda and {Romero-Manzanares}, Ang{\'e}lica and {Monroy-Ortiz}, Columba and {Luna-Cavazos}, Mario}, year = {2023}, month = jun, journal = {Ethnobiology and Conservation}, issn = {22384782}, doi = {10.15451/ec2023-06-12.12-1-21}, urldate = {2023-08-03}, langid = {english} } "
